directorate,team_full,team_short,benchmark_group,exclude
Forensics (L3),357 366 Heath & Medical Heath,Heath & Medical Heath,Forensic Medical,
Forensics (L3),357 Heath,Heath,Forensic Medical,
Forensics (L3),358 363 Forensic Com Team FIND Comm Team,Forensic Com Team FIND Comm Team,,
Forensics (L3),359 Police Liaison & Diversion,Police Liaison & Diversion,,
Forensics (L3),360 362 364 365 366 373 501 Forensic Medical,Forensic Medical,Forensic Medical,
Forensics (L3),371 Hazelwood,Hazelwood,Forensic Ward,
Forensics (L3),372 373 Greenwood & Medical Memorial,Greenwood & Medical Memorial,Forensic Medical,
Forensics (L3),372 Greenwood,Greenwood,Forensic Ward,
Offender Healthcare (L3),374 434 Stanford Hill & ESP Primary Care,Stanford Hill & ESP Primary Care,Primary Care,
Offender Healthcare (L3),374 Standford Hill Primary Care,Standford Hill Primary Care,Primary Care,
Adult Community Physical Health Services (L3),375 012 013 BX & GW Podiatry & Surgery Serv,Podiatry & Surgery Services,Podiatry,
Adult Community Physical Health Services (L3),375 ACS Bexley Podiatry,Bexley Podiatry,Podiatry,
Corporate (L3),377 QMH - Pharmacy,QMH - Pharmacy,Pharmacy,
Offender Healthcare (L3),382 Kent Prisons Support Services,Kent Prisons Support Services,,
Children & Young People (L3),383 CYP SCS Greenwich SPA,Specialist Children's Services Greenwich SPA,SPA,
Adult Community Physical Health Services (L3),385 ACS Bexley Rehabilitation Team,Bexley Rehabilitation Team,Rehabilitation,
Offender Healthcare (L3),386 Swaleside Primary Care,Swaleside Primary Care,Primary Care,
Adult Community Physical Health Services (L3),391 ACS Bexley MSK Services,Bexley MSK Services,MSK,
Offender Healthcare (L3),397 The Verne Social Care,The Verne Social Care,Prisons,
Adult Community Mental Health Services (L3),414 CMH Greenwich IAPT,Greenwich IAPT,IAPT,
Adult Community Mental Health Services (L3),415 CMH Greenwich IAPT Trainees,Greenwich IAPT Trainees,IAPT,
Adult Community Mental Health Services (L3),418 CMH Greenwich RB East Adapt,Greenwich RB East Adapt,ADAPT,
Adult Community Mental Health Services (L3),419 CMH Greenwich IAPT Employment Advisers,Greenwich IAPT Employment Advisers,IAPT,
Adult Community Mental Health Services (L3),"419, 615, 649 - Outreach and IAPT",Outreach and IAPT,,
Adult Community Mental Health Services (L3),424 CMH Greenwich West Adapt,Greenwich West Adapt,ADAPT,
Adult Community Mental Health Services (L3),426 CMH Greenwich West Central,Greenwich West Central,CMH,
Offender Healthcare (L3),434 ESP Primary Care,ESP Primary Care,Primary Care,
Adult Community Mental Health Services (L3),436 CMH Bexley Adapt,Bexley Adapt,ADAPT,
Adult Community Mental Health Services (L3),438 CMH Bexley Intensive Care Management of Psychosis,Bexley ICMP,ICMP,
Adult Community Mental Health Services (L3),440 443 Greenwich West ICMP & RB West,Greenwich West ICMP & RB West,ICMP,
Adult Community Mental Health Services (L3),440 CMH Greenwich West ICMP,Greenwich West ICMP,ICMP,
Adult Acute & Crisis Mental Health (L3),442 IR&C Assess & Avoidance Admin Team,Assess & Avoidance Admin Team,Flow,
Offender Healthcare (L3),"446 449 444 611 448 Exeter Primary Care, MH, Pharmacy & Mgmt & Admin","Exeter Primary Care, MH, Pharmacy & Mgmt & Admin",Prisons,
Offender Healthcare (L3),"455 451 629 454 Channings Wood Pharm, Primary Care, MH & Mgmt Admin","Channings Wood Pharm, Primary Care, MH & Mgmt Admin",Prisons,
Offender Healthcare (L3),"457 461 464 630 Dartmoor Primary Care, Phar, MH & Mgmt & Admin","Dartmoor Primary Care, Phar, MH & Mgmt & Admin",Prisons,
Adult Acute & Crisis Mental Health (L3),458 IR&C Bexley Home Treatment Team,Bexley Home Treatment Team,Home Treatment Team,
Children & Young People (L3),460 CYP SCS Bexley Comm Paeds,Bexley Community Paediatrics,Community Paediatrics,
Children & Young People (L3),463 CYP SCS Bexley SPA,Specialist Children's Services Bexley SPA,SPA,
Children & Young People (L3),465 CYP SCS Bexley SALT,SCS Bexley SALT,SCS AHPs,
Children & Young People (L3),467 CYP SCS Bexley Physio & OT,SCS Bexley Physio & OT,SCS AHPs,
Children & Young People (L3),470 562 CAMHS Greenwich MHST Team 1&2,CAMHS Greenwich MHST Team 1&2,Greenwich CAMHS,
Children & Young People (L3),470 CAMHS Greenwich MHST,CAMHS Greenwich MHST,Greenwich CAMHS,
Children & Young People (L3),472 044 512 Bexley CAMHS Management and NSPCC Services,Bexley CAMHS Management and NSPCC Services,Management,
Children & Young People (L3),472 512 CAMHS Bexley Admin Team & CYP NCATS,CAMHS Bexley Admin Team & CYP NCATS,Bexley CAMHS,
Children & Young People (L3),481 CYP Bexley CAMHS Willow Team,CAMHS Bexley Willow Team,Bexley CAMHS,
Children & Young People (L3),486 CYP Bexley CAMHS Cedar Team,CAMHS Bexley Cedar Team,Bexley CAMHS,
Children & Young People (L3),487 488 CAMHS BROMLEY LAC & NEURO,CAMHS Bromley LAC & Neuro,Bromley CAMHS,
Children & Young People (L3),489 490 Bromley CAMHS Management and iSPA,Bromley CAMHS Management and iSPA,,
Children & Young People (L3),489 490 CAMHS Bromley Mgmt & ISPA Team,CAMHS Bromley Mgmt & ISPA Team,,
Children & Young People (L3),492 CAMHS BROMLEY GENERIC,CAMHS Bromley Generic,Bromley CAMHS,
Children & Young People (L3),494 CYP Bexley CAMHS Maple Team,CAMHS Bexley Maple Team,Bexley CAMHS,
Children & Young People (L3),497 CAMHS Crisis Team,CAMHS Crisis Team,CAMHS Crisis & DBT,
Children & Young People (L3),499 CAMHS BROMLEY ADOLESCENT,CAMHS Bromley Adolescent,Bromley CAMHS,
Offender Healthcare (L3),505 381 Swaleside Mental Health & Inpatients,Swaleside Mental Health & Inpatients,Prison Mental Health,
Offender Healthcare (L3),506 Rochester Primary Care,Rochester Primary Care,Primary Care,
Offender Healthcare (L3),507 LPP Community,LPP Community,,
Offender Healthcare (L3),508 Maidstone Primary Care,Maidstone Primary Care,Primary Care,
Forensics (L3),509 510 Bracton Reception & Central Admin,Bracton Reception & Central Admin,,
Offender Healthcare (L3),511 LPP Swaleside PD,LPP Swaleside PD,,
Offender Healthcare (L3),513 Medway Prisons - Pharmacy,Medway Prisons - Pharmacy,Prison Pharmacy,
Offender Healthcare (L3),514 621 Prison Central Mrg and LPP MHTR,Prison Central Mrg and LPP MHTR,,
Offender Healthcare (L3),514 LPP MHTR,LPP MHTR,,
Offender Healthcare (L3),515 Medway Prisons - Cookham Wood,Medway Prisons - Cookham Wood,Prisons,
Offender Healthcare (L3),520 Wandsworth Prison Admin Management,Wandsworth Prison Admin Management,,
Offender Healthcare (L3),521 Wandsworth Pharmacy,Wandsworth Pharmacy,Prison Pharmacy,
Offender Healthcare (L3),523 Wandsworth Mental Health,Wandsworth Mental Health,Prison Mental Health,
Offender Healthcare (L3),524 Wandsworth Primary Care,Wandsworth Primary Care,Primary Care,
Adult Community Mental Health Services (L3),530 CMH Bromley Attention Deficit (ADHD),Bromley Attention Deficit (ADHD),,
Adult Learning Disabilities (L3),531 ALD Bromley Autism Assessment Service,ALD Bromley Autism Assessment Service,,
Corporate (L3),540 551 Central Services & QMH Estates,Central Services & QMH Estates,,
Offender Healthcare (L3),561 Elmley Mental Health,Elmley Mental Health,Prison Mental Health,
Corporate (L3),613 Safeguarding,Safeguarding,Corporate Nursing,
Offender Healthcare (L3),621 Prisons Central Management,Prisons Central Management,Management,
Offender Healthcare (L3),"626 337 346 334 The Verne Mgmt Admin, Primary Care, MH & Pharmacy","The Verne Mgmt Admin, Primary Care, MH & Pharmacy",,
Offender Healthcare (L3),631 SW Prisons Management,SW Prisons Management,Management,
Adult Community Mental Health Services (L3),635 CMH Bromley East ADAPT,Bromley East ADAPT,ADAPT,
Adult Community Mental Health Services (L3),636 690 Bromley West ADAPT & Womens Serv,Bromley West ADAPT & Womens Services,ADAPT,
Adult Community Mental Health Services (L3),636 CMH Bromley West ADAPT,Bromley West ADAPT,ADAPT,
