q_id,q_text,q_text_short,year_q,text_origin,q_type,trust_specific,down_good
130,During the last 12 months have you felt unwell as a result of work related stress?,During the last 12 months have you felt unwell as a result of work related stress (No),q11c,IQVIA_bench,option,,
96,"Does your organisation act fairly with regard to career progression / promotion, regardless of e.g. age, disability, ethnic background, gender reassignment, religion, sex or sexual orientation?","Does your organisation act fairly with regard to career progression, regardless of e.g. age, disability, ethnic background etc (Yes)",q15,IQVIA_bench,option,,
85,Care of patients / service users is my organisation's top priority.,Care of patients / service users is my organisation's top priority (Agree/Strongly agree),q25a,IQVIA_bench,option,,
86,"As soon as I can find another job, I will leave this organisation.","As soon as I can find another job, I will leave this organisation (Strongly disagree/Disagree)",q26c,IQVIA_bench,option,,
135,Are you satisfied with the Armed Forces specific support and guidance offered by the Trust?,Are you satisfied with the Armed Forces specific support & guidance offered by the Trust (Strongly agree),RPGL06C,IQVIA_bench,option,RPG,
32,On what grounds have you experienced discrimination? Sexual orientation (No).,Experienced discrimination… Sexual orientation (No),,IQVIA_pos,scored,,
33,On what grounds have you experienced discrimination? Sex (No).,Experienced discrimination… Sex (No),,IQVIA_pos,scored,,
34,On what grounds have you experienced discrimination? Religion or belief (No).,Experienced discrimination… Religion or belief (No),,IQVIA_pos,scored,,
35,On what grounds have you experienced discrimination? Race (No).,Experienced discrimination… Race (No),,IQVIA_pos,scored,,
36,On what grounds have you experienced discrimination? Pregnancy and maternity (No).,Experienced discrimination… Pregnancy & maternity (No),,IQVIA_pos,scored,,
37,On what grounds have you experienced discrimination? Other (No).,Experienced discrimination… Other (No),,IQVIA_pos,scored,,
38,On what grounds have you experienced discrimination? Marriage and civil partnership (No).,Experienced discrimination… Marriage & civil partnership (No),,IQVIA_pos,scored,,
39,On what grounds have you experienced discrimination? Gender reassignment (No).,Experienced discrimination… Gender reassignment (No),,IQVIA_pos,scored,,
40,On what grounds have you experienced discrimination? Disability (No).,Experienced discrimination… Disability (No),,IQVIA_pos,scored,,
41,On what grounds have you experienced discrimination? Age (No).,Experienced discrimination… Age (No),,IQVIA_pos,scored,,
